repo,task_files,merges,conflicted,task_conflicted,example
780Farva/resu-me,27,1,0,0,""
AIToolsLab/writing-tools,24,289,52,0,""
ANUcybernetics/imaginative-restoration,8,0,0,0,""
ANUcybernetics/llms-unplugged,33,1,1,0,""
ANUcybernetics/neon-perceptron,24,0,0,0,""
ANUcybernetics/panic,27,0,0,0,""
ANUcybernetics/perceptron-apparatus,7,0,0,0,""
Anubhav-Koul/Neuro-WeaveApp,22,0,0,0,""
BautistaSimone/MiAppExpo,1,SKIP,,,
Bendomey/rent-loop,13,17,1,0,""
BigCactusLabs/blotter,78,33,4,0,""
BizraInfo/Dema,51,141,3,0,""
BoozeLee/coolify,9,300,10,0,""
CRJFisher/ariadne,641,24,1,0,""
CRJFisher/clustering-tfjs,0,SKIP,,,
CRJFisher/code-charter,98,34,5,1,"task-27.1.6.7"
Callumk7/game_master_core,15,3,0,0,""
CharlieMcVicker/chr-ocr,97,17,1,0,""
CherokeeLanguage/online-exercises-audio-pipeline,1,SKIP,,,
DanielRamosAcosta/system,17,1,1,0,""
DanielRamosAcosta/viviendaencrisis,14,0,0,0,""
DnzzL/notara,131,10,0,0,""
FMakareev/muster-backlog,80,2,0,0,""
FabienArcellier/fixtup,2,SKIP,,,
FrankS01/Voice-clock,8,0,0,0,""
Grazulex/adminTIM2,0,SKIP,,,
Grazulex/laravel-sharelink,1,SKIP,,,
Grazulex/servermark,0,SKIP,,,
Grazulex/shipmark,0,SKIP,,,
Grazulex/showme,0,SKIP,,,
Grazulex/vaultmark,0,SKIP,,,
Helga09/AutoDeploy,9,300,8,0,""
IU6VYG/esame-radioamatori,31,17,1,0,""
InbarR/tmax,41,20,5,2,"task-243"
J0sueTM/lowflow,10,4,0,0,""
JamesAdams765/terminal-news-website,14,0,0,0,""
Jayphen/homeclaw,38,71,0,0,""
Jvdbreemen/LLmWiki-KennisBank,218,167,4,2,"task-161"
Lob26/moon-phase-background-windows,6,4,0,0,""
MartinZikmund/stopwatch,0,SKIP,,,
Mateuss333/PampaLovers,0,SKIP,,,
MrLesk/Backlog.md,204,76,7,3,"back-410"
MrLesk/Groma.md,107,90,4,0,""
MrLesk/agents-council,77,9,0,0,""
MrMaxie/cadder,43,0,0,0,""
NewNowherestan/edw-kit,1,SKIP,,,
NickCrew/Claude-Cortex,22,1,0,0,""
Platform-OS/pos-cli,29,263,5,0,""
RisorseArtificiali/lince,106,110,1,0,""
Singletoned/localstack-ui,11,0,0,0,""
The-Dave-Stack/mcp-backlog-md,2,SKIP,,,
Tommaiberone/MoralTortureMachineApp,220,0,0,0,""
YosukeIida/sokki,0,SKIP,,,
a2aproject/a2a-tck,60,27,0,0,""
aguvener/linkcrawler,34,2,0,0,""
ahrzb/sql-transforms,94,23,2,0,""
ai-sdlc-framework/ai-sdlc,29,5,0,0,""
aida-core/aida-core-plugin,29,16,2,0,""
ajmarkow/nix-components,1,SKIP,,,
ajmarkow/weztermcp,15,1,1,0,""
DONE
akoenig/effective,1,SKIP,,,
alefcarlos/mcpserver-auth-demo,18,2,1,0,""
alexandme/textql-mcp,23,3,0,0,""
alkapa/gitar,45,13,2,0,""
alvarogarcia7/training-parser-antlr4,5,6,2,0,""
ammar-qazi/HisaabFlow,26,0,0,0,""
anugrahsputra/change_project_name,5,0,0,0,""
arnabsen1729/garmin-parse,15,3,0,0,""
arsfeld/finaro,142,0,0,0,""
arsfeld/ohdio,30,0,0,0,""
atlas-crew/Apparatus,53,0,0,0,""
avycado13/SnapCircle,3,0,0,0,""
benswift/.dotfiles,12,0,0,0,""
benswift/benswift.github.io,29,1,0,0,""
blur6666/tab-vacuum,10,14,1,0,""
bultot/hjkl,69,3,1,0,""
callas1900/opensoegaki,71,0,0,0,""
cbarber/llm-tools,41,0,0,0,""
cds-snc/sre-bot,130,0,0,0,""
cgreeno/temporalex,13,42,5,0,""
clawssoftware/claws-v1,9,300,11,0,""
cottrell/nudge,33,0,0,0,""
daironpf/socialseed-tasker,440,6,0,0,""
dajoen/deveoptech-site,5,0,0,0,""
dan-hart/AsNeeded,0,SKIP,,,
danpowell88/tlapoc,136,0,0,0,""
datorresb/niwashi-studio,0,SKIP,,,
dddpaul/claude-skills,38,38,0,0,""
devoxx/DevoxxGenieIDEAPlugin,26,300,5,1,"task-199"
digego/extempore,60,204,15,0,""
eciuca/Backlog.md-jira-plugin,65,2,1,1,"task-319"
edoloughlin/nasc,50,15,1,0,""
eisbaw/Clift,278,0,0,0,""
eisbaw/aulalibre,110,1,0,0,""
eisbaw/babymonitor-client,119,1,0,0,""
eisbaw/cursor_api_demo,302,0,0,0,""
eisbaw/linkedin-rs,44,1,0,0,""
eisbaw/litterate_bitorrent,122,0,0,0,""
eisbaw/ost,24,0,0,0,""
eisbaw/saleae_logic_reversed,140,0,0,0,""
enzeeo/JenRAG,8,2,0,0,""
erik-wien/auth,6,1,0,0,""
erik-wien/chrome,3,0,0,0,""
evanstern/the-stacks,11,26,4,0,""
extemporelang/vscode-extempore,1,SKIP,,,
ferronicardoso/b2b-platform-sample,28,0,0,0,""
filips-alpe/lit-crm,4,1,0,0,""
freddong/vmcli,0,SKIP,,,
g5becks/beacon_mcp,28,0,0,0,""
g5becks/errorset,39,0,0,0,""
g5becks/llxt,3,0,0,0,""
glisom/HealthQL,10,0,0,0,""
grymmjack/img2ans,1,SKIP,,,
hansihe/temporal_ex,13,0,0,0,""
happi/warrant,10,13,1,0,""
hellhand/Kube,22,0,0,0,""
high-five-group/miranon-media-admin,69,300,7,1,"task-309.22"
hyperledger-identus/neoprism,0,SKIP,,,
iSapozhnik/TextDiff,1,SKIP,,,
ian-ross/bergner-2026,86,0,0,0,""
ian-ross/cloud-rom,33,0,0,0,""
